LOCATION,DATE,COUNT
"MASS MoCa, North Adams",2014-08-25,121
"MASS MoCa, North Adams",2014-09-04,68
"MASS MoCa, North Adams",2014-09-05,75
"MASS MoCa, North Adams",2014-09-25,100
"MASS MoCa, North Adams",2014-09-26,89
"MASS MoCa, North Adams",2014-09-27,179
"MASS MoCa, North Adams",2014-09-28,202
"MASS MoCa, North Adams",2014-09-29,76
"MASS MoCa, North Adams",2014-09-30,26
"MASS MoCa, North Adams",2014-10-01,90
"MASS MoCa, North Adams",2014-10-02,42
"MASS MoCa, North Adams",2014-10-03,49
"MASS MoCa, North Adams",2014-10-04,444
"MASS MoCa, North Adams",2014-10-05,298
"MASS MoCa, North Adams",2014-10-06,237
"MASS MoCa, North Adams",2014-10-07,66
"MASS MoCa, North Adams",2014-10-08,169
"MASS MoCa, North Adams",2014-10-09,267
"MASS MoCa, North Adams",2014-10-10,183
"MASS MoCa, North Adams",2014-10-11,292
"MASS MoCa, North Adams",2014-10-12,263
"MASS MoCa, North Adams",2014-10-13,249
"MASS MoCa, North Adams",2014-10-14,28
"MASS MoCa, North Adams",2014-10-15,85
"MASS MoCa, North Adams",2014-10-16,103
"MASS MoCa, North Adams",2014-10-17,58
"MASS MoCa, North Adams",2014-10-18,269
"MASS MoCa, North Adams",2014-10-19,212
"MASS MoCa, North Adams",2014-10-20,73
"MASS MoCa, North Adams",2014-10-21,18